id,image_name,objects,merchant_name,lat,lng,address,area_id,product_name,
100147,100147.jpg,"mr_twist,no chips,potato_crackers,sticks,zeros",SUMAIYA STORE,23.822251,90.356874,"HOUSE#309, ROAD#11, RUPNAGAR TIN SHED, MIRPUR, DHAKA-1216",5129,chips,
10015,10015.jpg,potato_crackers,MOONTAHA STORE,23.8156164,90.3635915,"SEC-7, ROAD-2, HOUSE-399/400, MIRPUR, DHAKA",5129,chips,
10018,10018.jpg,"mr_twist,no chips,sticks,ring,alooz,kurkure",VAI VAI GENERAL STORE,23.8158547,90.3631017,"HOUSE-459,ROAD 4 ,MIRPUR 7, 1216",5129,chips,
10022,10022.jpg,"no chips,sun,kurkure",KOHENUR STORE,23.8161852,90.3629345,"H-502, ROAD 4, SECTION 7.MIRPUR , DHAKA-1216",5129,chips,
10024,10024.jpg,"no chips,potato_crackers,sticks,zeros,alooz",DHUI VAI GEN. STORE,23.8216479,90.3709887,"SECTION-12, BLOCK-DHA, HOUSE-372, ROAD-3, MIRPUR",5125,chips,
10026,10026.jpg,"cheese_puff,no chips,alooz",BISMILLAH TEA STORE,23.8158098,90.3642874,"HOUSE-386, ROAD-2, SEC-7, MIRPUR, PALLABI, DHAKA",5129,chips,
10034,10034.jpg,"potato_crackers,no chips",NUR GENERAL STORE,23.8172883,90.3626861,"H-658. ROAD- 4. PALLABI. MIRPUR -7,1216",5129,chips,
10049,10049.jpg,"mr_twist,potato_crackers,no chips,sticks,curl,zeros,alooz,ring",MA BABAR DOWA GNE. STORE,23.8175348,90.3626019,"SHOP NO-702, R-4, SECTION-7, PALLABI, MIRPUR,  DHAKA",5129,chips,
10059,10059.jpg,"potato_crackers,no chips,sticks",E - TELE,23.8093162,90.3636438,"HOUSE NO-1,ROAD-5,BLOCK-B,SECTION-6,MIRPUR,DHAKA-1216",1584,chips,
10070,10070.jpg,"potato_crackers,no chips",SOJOL GENERAL STORE,23.81789,90.3638384,"H-724. ROAD- 4. MIRPUR- 7, 1216",5129,chips,
10108,10108.jpg,"cheese_puff,potato_crackers",MUNSI GNE. STORE,23.8176374,90.3629097,"H-698/99, R-4, SECTION-7, MIRPUR, DHAKA-1216",5129,chips,
101149,101149.jpg,"cheese_puff,potato_crackers,no chips",NUR STORE,23.8229498,90.3569733,"36 RUPNAGAR, RUPNAGAR BUS STAND, MIRPUR, DHAKA-1216",5129,chips,
101151,101151.jpg,"potato_crackers,no chips",BAREK TEA STORE,23.814214,90.3617775,"JHILPAR NOTUN RASTA, MIRPUR-12, DHAKA-1216",5129,chips,
101398,101398.jpg,"potato_crackers,no chips",AZIZUL TEA STALL,23.8215514,90.3557344,"ROAD-6, SHOP-11, RUPNAGAR TIN SHEED MOSJID MARKET, MIRPUR, DHAKA-1216",5129,chips,
101436,101436.jpg,"mr_twist,potato_crackers,no chips,zeros,kurkure",NABILA STORE,23.8215822,90.3556782,"SHOP-1, TIN SHED MOSJID MARKET, RUPNAGAR TIN SHED, RUPNAGAR, DHAKA-1216",5129,chips,
101463,101463.jpg,"zeros,no chips",JIHAD STORE,23.8202133,90.3556334,"24/B,ROAD-3,RUPNAGAR TINSHED,MIRPUR, DHAKA-1216",5129,chips,
101651,101651.jpg,alooz,EMON STORE,23.8088196,90.3467441,"1/H, ROAD-8, HOUSE-18, GUDARA GAT, MIRPUR-1, DHAKA",5131,chips,
101884,101884.jpg,"no chips,sticks,zeros,alooz,kurkure",KHADIJA GENERAL STORE,23.8041799,90.3447454,"KAZIFURI BAZAR,MIRPUR-1,DHAKA-1216",5131,chips,
101898,101898.jpg,sticks,RABBI STORE,23.8193759,90.3554389,"ROAD#39, RUPNAGAR ABASHIK, MIRPUR, DHAKA-1216",5129,chips,
